Fecha,imacec
01-01-2000,6.30
01-02-2000,5.99
01-03-2000,6.42
01-04-2000,7.12
01-05-2000,6.82
01-06-2000,4.60
01-07-2000,6.13
01-08-2000,5.85
01-09-2000,4.24
01-10-2000,4.31
01-11-2000,3.35
01-12-2000,3.19
01-01-2001,2.93
01-02-2001,3.74
01-03-2001,4.23
01-04-2001,3.51
01-05-2001,3.81
01-06-2001,5.76
01-07-2001,2.93
01-08-2001,2.93
01-09-2001,2.98
01-10-2001,2.82
01-11-2001,2.64
01-12-2001,1.55
01-01-2002,2.85
01-02-2002,0.78
01-03-2002,0.90
01-04-2002,3.17
01-05-2002,2.14
01-06-2002,2.44
01-07-2002,3.71
01-08-2002,3.72
01-09-2002,4.66
01-10-2002,4.24
01-11-2002,3.90
01-12-2002,4.78
01-01-2003,4.15
01-02-2003,5.16
01-03-2003,4.51
01-04-2003,3.90
01-05-2003,4.54
01-06-2003,4.33
01-07-2003,4.41
01-08-2003,3.63
01-09-2003,3.95
01-10-2003,3.78
01-11-2003,3.48
01-12-2003,3.41
01-01-2004,4.09
01-02-2004,4.55
01-03-2004,6.08
01-04-2004,6.10
01-05-2004,6.29
01-06-2004,6.40
01-07-2004,7.64
01-08-2004,8.59
01-09-2004,8.45
01-10-2004,9.10
01-11-2004,9.35
01-12-2004,9.49
01-01-2005,7.45
01-02-2005,6.38
01-03-2005,5.36
01-04-2005,6.15
01-05-2005,5.15
01-06-2005,6.15
01-07-2005,4.13
01-08-2005,6.25
01-09-2005,5.33
01-10-2005,3.93
01-11-2005,5.75
01-12-2005,6.97
01-01-2006,5.80
01-02-2006,7.34
01-03-2006,5.39
01-04-2006,5.46
01-05-2006,7.55
01-06-2006,6.88
01-07-2006,6.69
01-08-2006,4.82
01-09-2006,6.74
01-10-2006,7.69
01-11-2006,5.60
01-12-2006,6.02
01-01-2007,5.45
01-02-2007,4.79
01-03-2007,6.83
01-04-2007,5.92
01-05-2007,5.25
01-06-2007,5.20
01-07-2007,3.24
01-08-2007,4.57
01-09-2007,5.29
01-10-2007,3.44
01-11-2007,4.30
01-12-2007,4.62
01-01-2008,5.31
01-02-2008,6.74
01-03-2008,4.19
01-04-2008,4.72
01-05-2008,4.36
01-06-2008,4.89
01-07-2008,6.32
01-08-2008,2.15
01-09-2008,1.80
01-10-2008,2.90
01-11-2008,-0.28
01-12-2008,0.12
01-01-2009,-2.20
01-02-2009,-4.55
01-03-2009,-1.91
01-04-2009,-2.87
01-05-2009,-3.37
01-06-2009,-3.73
01-07-2009,-3.83
01-08-2009,0.57
01-09-2009,0.00
01-10-2009,-0.94
01-11-2009,2.88
01-12-2009,1.00
01-01-2010,2.04
01-02-2010,3.74
01-03-2010,-0.08
01-04-2010,6.03
01-05-2010,6.23
01-06-2010,6.94
01-07-2010,7.70
01-08-2010,8.30
01-09-2010,6.53
01-10-2010,6.43
01-11-2010,8.62
01-12-2010,7.52
01-01-2011,8.22
01-02-2011,6.65
01-03-2011,12.61
01-04-2011,6.01
01-05-2011,7.76
01-06-2011,5.41
01-07-2011,3.95
01-08-2011,4.34
01-09-2011,4.37
01-10-2011,4.52
01-11-2011,3.73
01-12-2011,6.14
01-01-2012,4.90
01-02-2012,6.41
01-03-2012,4.19
01-04-2012,5.31
01-05-2012,5.11
01-06-2012,6.11
01-07-2012,6.40
01-08-2012,6.49
01-09-2012,3.93
01-10-2012,6.52
01-11-2012,5.38
01-12-2012,3.42
01-01-2013,4.94
01-02-2013,2.85
01-03-2013,3.09
01-04-2013,4.77
01-05-2013,3.71
01-06-2013,4.15
01-07-2013,5.08
01-08-2013,3.51
01-09-2013,4.64
01-10-2013,3.94
01-11-2013,4.50
01-12-2013,3.44
01-01-2014,2.19
01-02-2014,3.34
01-03-2014,2.98
01-04-2014,1.37
01-05-2014,2.00
01-06-2014,1.00
01-07-2014,0.46
01-08-2014,0.16
01-09-2014,2.45
01-10-2014,1.88
01-11-2014,1.06
01-12-2014,2.40
01-01-2015,2.63
01-02-2015,2.04
01-03-2015,2.15
01-04-2015,2.87
01-05-2015,1.54
01-06-2015,2.83
01-07-2015,2.39
01-08-2015,1.79
01-09-2015,2.70
01-10-2015,1.55
01-11-2015,2.59
01-12-2015,2.57
01-01-2016,1.41
01-02-2016,4.55
01-03-2016,3.02
01-04-2016,0.65
01-05-2016,1.95
01-06-2016,1.20
01-07-2016,0.70
01-08-2016,3.15
01-09-2016,1.46
01-10-2016,0.11
01-11-2016,1.76
01-12-2016,0.86
01-01-2017,0.98
01-02-2017,-1.95
01-03-2017,-0.23
01-04-2017,-0.71
01-05-2017,1.19
01-06-2017,0.75
01-07-2017,2.12
01-08-2017,2.13
01-09-2017,1.45
01-10-2017,3.00
01-11-2017,2.97
01-12-2017,2.29
01-01-2018,4.07
01-02-2018,4.72
01-03-2018,4.61
01-04-2018,6.36
01-05-2018,4.27
01-06-2018,4.16
01-07-2018,3.10
01-08-2018,2.40
01-09-2018,1.70
01-10-2018,3.58
01-11-2018,2.81
01-12-2018,2.93
01-01-2019,1.62
01-02-2019,0.50
01-03-2019,1.19
01-04-2019,1.41
01-05-2019,1.94
01-06-2019,1.06
01-07-2019,2.99
01-08-2019,3.81
01-09-2019,3.40
01-10-2019,-3.49
01-11-2019,-3.94
01-12-2019,1.43
01-01-2020,1.29
01-02-2020,3.23
01-03-2020,-3.54
01-04-2020,-13.82
01-05-2020,-15.31
01-06-2020,-13.58
01-07-2020,-11.25
01-08-2020,-10.90
01-09-2020,-4.76
01-10-2020,-0.92
01-11-2020,0.98
01-12-2020,-0.07
01-01-2021,-2.93
01-02-2021,-2.08
01-03-2021,5.77
